79,1,[1160.86623278  449.13487635 1328.61873425  669.50769902]
79,2,[ 536.08191862  417.34207536  907.15085687 1028.89335362]
80,1,[1161.41956477  449.05318092 1333.40364878  671.42992129]
80,2,[ 520.65692605  421.01872423  881.06112064 1029.99177643]
81,1,[1161.11848353  447.57674741 1337.0159316   671.44667189]
81,2,[ 507.05118522  422.26249556  862.24177477 1034.84205774]
82,1,[1160.83390152  447.5581359  1339.87535455  671.42068027]
82,2,[ 498.70516118  421.94251945  850.22105379 1041.77911612]
83,1,[1158.5122781   447.43443878 1339.84565084  668.06434668]
83,2,[ 489.85784994  439.44128866  836.65190128 1064.60541744]
84,1,[1155.040896    447.94062785 1340.41994476  666.77439342]
84,2,[ 483.56898906  445.98238358  824.9852445  1077.04556335]
85,1,[1149.59604506  448.70697466 1340.12599588  665.62091488]
85,2,[ 484.46463771  454.20645763  815.66321293 1081.52689963]
86,1,[1144.71040798  448.90814716 1341.5582288   665.18925538]
86,2,[ 485.79042123  464.40370875  805.65587684 1082.93133377]
87,1,[1140.4470483   448.24387123 1344.57508506  665.69690962]
87,2,[ 488.33169258  468.71107908  799.5449686  1083.17082328]
88,1,[1142.19063045  449.2607461  1349.04060026  663.89959002]
88,2,[ 485.6520621   477.40197073  787.16840568 1083.02448599]
89,1,[1140.78486803  448.2433376  1354.83734423  667.22554269]
89,2,[ 485.20931662  492.41524034  775.51070433 1082.73076439]
90,1,[1150.25086798  447.17024885 1366.76844687  667.79630358]
90,2,[ 486.90367737  509.16003189  767.51518137 1082.39491556]
91,1,[1158.61117228  444.73857234 1376.40700962  669.32506692]
91,2,[ 488.52297932  521.11432953  763.06437993 1081.40294569]
92,1,[1165.43518155  441.82459876 1382.83477085  669.89305759]
92,2,[ 489.16598066  537.29579052  756.04325943 1080.20831875]
93,1,[1168.14239373  440.69697483 1384.36050051  671.40641595]
93,2,[ 485.36472489  547.60261554  748.07145252 1080.97249615]
94,1,[1170.64756929  438.29494763 1384.59098111  670.65895485]
94,2,[ 484.92246633  555.03225693  744.14146152 1078.44141965]
95,1,[1171.5165616   436.06625591 1383.26608701  669.69996264]
95,2,[ 480.51799866  560.73088909  739.44523974 1080.1130701 ]
96,1,[1169.59175246  432.60175829 1381.56140439  669.97797511]
96,2,[ 472.91681662  564.47947816  732.11512941 1080.65109311]
97,1,[1167.87420586  429.34307486 1379.80741962  670.0756513 ]
97,2,[ 470.19008892  576.25517154  724.48165794 1078.09001542]
98,1,[1166.36338825  426.81766293 1377.91159307  670.10455051]
98,2,[ 460.32898297  588.35284397  710.82262241 1078.41137509]
99,1,[1166.82658624  425.88690651 1376.69899411  670.10747889]
99,2,[ 456.5979661   593.07667918  706.51917807 1078.47988306]
100,1,[1162.31273123  417.05846255 1378.88093232  671.41091878]
100,2,[ 449.65373428  589.74238298  702.97536616 1079.81358796]
101,1,[1161.24421278  410.52907859 1380.32205865  669.95924759]
101,2,[ 447.29808503  596.93007775  699.26551156 1080.26935787]
102,1,[1158.65210826  402.22154276 1381.06100321  668.08514114]
102,2,[ 443.6700151   602.6555535   695.17246929 1080.3945271 ]
103,1,[1156.66262047  397.15495378 1380.3534822   668.00534213]
103,2,[ 436.18823862  607.84124685  686.86553617 1080.40387891]
104,1,[1156.04719216  388.1729104  1383.12604019  667.32943443]
104,2,[ 430.56627839  610.15144862  682.43115275 1080.37467796]
105,1,[1158.48531505  380.94097704 1387.29933315  668.36008817]
105,2,[ 428.28556912  616.10633624  681.46068606 1080.33667918]
106,1,[1160.07882989  373.1014389  1392.11165641  671.338757  ]
106,2,[ 424.3936002   622.25066773  674.52319865 1080.89849286]
107,1,[1165.37306135  366.97017698 1396.31571355  671.85594033]
107,2,[ 434.40587551  628.08246469  690.80008485 1080.30487082]
108,1,[1169.30308988  358.28822688 1400.55605409  672.6929341 ]
108,2,[ 425.11564525  628.56927127  688.95048682 1080.2307298 ]
109,1,[1174.81441059  353.76822391 1405.19850856  677.49860344]
